1786893022.794,0.67,0.51,203.08,0.43,0.32,0.36,0.27
1786893023.300,0.54,0.35,193.56,0.51,0.28,0.27,0.22
1786893023.797,0.61,0.39,203.10,0.56,0.38,0.38,0.31
1786893024.303,0.50,0.30,204.03,0.57,0.38,0.43,0.36
1786893024.810,0.58,0.35,203.89,0.38,0.36,0.27,0.33
1786893025.317,1.01,0.36,197.37,0.64,0.37,0.33,0.42
1786893025.819,0.52,0.34,203.55,0.63,0.43,0.43,0.43
1786893026.326,0.50,0.31,210.12,0.55,0.53,0.28,0.33
1786893026.839,0.59,0.33,200.97,0.47,0.29,0.37,0.31
1786893027.343,0.55,0.30,198.22,0.46,0.38,0.31,0.28
1786893027.844,0.51,0.26,204.65,0.54,0.33,0.32,0.33
1786893028.352,0.61,0.34,202.75,0.52,0.34,0.36,0.49
1786893028.858,0.54,0.40,194.43,0.50,0.48,0.55,0.31
1786893029.356,0.59,0.46,207.21,0.48,0.46,0.40,0.33
1786893029.866,0.52,0.39,197.34,0.55,0.45,0.39,0.28
1786893030.367,0.56,0.59,207.34,0.58,0.34,0.37,0.34
1786893030.878,0.52,0.36,197.01,0.61,0.35,0.28,0.31
1786893031.378,0.50,0.37,202.25,0.49,0.31,0.28,0.29
1786893031.885,0.64,0.40,208.74,0.48,0.33,0.28,0.23
1786893032.396,0.44,0.26,191.63,0.53,0.50,0.26,0.43
1786893032.892,0.54,0.33,205.19,0.46,0.33,0.25,0.26
1786893033.400,0.52,0.33,196.42,0.49,0.44,0.50,0.46
1786893033.899,0.55,0.33,201.41,0.44,0.26,0.28,0.25
1786893034.403,0.45,4.87,208.88,0.53,0.48,0.32,0.28
1786893034.920,0.47,0.35,203.43,0.52,0.35,0.34,0.34
1786893035.426,0.47,0.34,198.64,0.57,0.35,0.37,0.35
1786893035.928,0.44,0.31,207.80,0.41,0.30,0.28,0.52
1786893036.439,0.60,0.42,204.50,0.51,0.48,0.32,0.30
1786893036.947,0.57,0.34,195.76,0.57,0.56,0.53,0.76
1786893037.446,0.47,0.30,193.09,0.49,0.32,0.28,0.38
1786893037.942,0.50,0.34,197.05,0.78,0.64,0.32,0.29
1786893038.443,0.53,0.44,205.18,0.48,0.43,0.32,0.28
1786893038.952,0.38,0.29,196.10,0.43,0.32,0.44,0.28
1786893039.456,0.60,0.31,208.17,0.48,0.35,0.39,0.26
1786893039.967,0.64,0.39,206.39,0.50,0.32,0.32,0.36
1786893040.481,0.49,0.37,206.96,0.47,0.36,0.32,0.60
1786893040.992,0.49,0.33,209.40,0.49,0.37,0.39,0.27
1786893041.505,0.66,0.42,207.30,0.42,0.32,0.27,0.33
1786893042.015,0.45,0.36,195.44,0.46,0.35,0.33,0.33
1786893042.513,0.53,0.42,205.74,0.47,0.31,0.30,0.28
1786893043.022,0.44,0.50,191.80,0.43,0.29,0.31,0.30
1786893043.517,0.51,0.35,210.19,0.39,0.29,0.31,0.26
1786893044.030,0.50,0.36,192.79,0.49,0.31,0.31,0.25
1786893044.525,0.58,0.35,195.72,0.43,0.44,0.26,0.23
1786893045.024,0.45,0.32,207.35,0.49,0.36,0.32,0.27
1786893045.535,0.47,0.30,203.97,0.49,0.46,0.36,0.30
1786893046.042,0.47,0.32,200.98,0.47,0.28,0.30,0.26
1786893046.546,0.50,0.30,203.15,0.40,0.31,0.33,0.24
1786893047.052,0.57,0.40,209.41,0.52,0.47,0.38,0.46
1786893047.569,0.77,0.61,204.97,0.48,0.44,0.35,0.51
1786893048.078,0.60,0.32,205.51,0.76,0.48,0.33,0.36
1786893048.587,0.51,0.36,198.30,0.42,0.33,0.27,0.25
1786893049.088,0.60,0.36,190.46,0.48,0.34,0.29,0.28
1786893049.581,0.62,0.31,208.45,0.46,0.29,0.26,0.24
1786893050.092,0.59,0.47,197.95,0.40,0.29,1.09,0.34
1786893050.594,0.50,0.35,208.80,0.49,0.31,0.26,0.25
1786893051.105,0.59,0.39,208.14,0.49,0.34,0.30,0.28
1786893051.616,0.50,0.31,209.60,0.53,0.31,0.30,0.35
1786893052.136,0.56,0.41,198.04,0.38,0.31,0.29,0.24
1786893052.636,0.41,0.43,194.54,0.46,0.28,0.28,0.42
