tps,seed,p50_raft,p95_raft,p99_raft,p50_ai,p95_ai,p99_ai,p50_bft,p95_bft,p99_bft
2000,0,50.46454859178266,55.54031051333467,60.125223231278035,49.89886483633957,54.7832014796431,57.2142783095107,69.94588769636269,76.66971454466609,80.42715672066419
2000,1,50.63020453717236,55.50733797199215,57.62677354500105,49.82520744878941,53.84138202941985,56.98204312261811,70.08745600450882,75.71585343116952,79.51567181918439
2000,2,50.57102157322872,54.655256291402424,57.68838745253708,49.99311182308996,54.417538366819095,58.4208107384838,70.1025757966868,76.18532409496548,79.94840201385212
2000,3,50.67996763710876,55.350056852219026,58.861168683106605,49.78448519135047,54.733755521334025,57.85521642796972,69.89773856653943,75.2589078075863,78.2154244139149
2000,4,50.45090340083715,55.12247464066543,58.695439647572556,49.86995466897072,54.82286799792874,58.473247214023594,69.90695023260325,75.84325076141572,78.98192974387943
2000,5,50.3872317841826,55.43590700575622,58.155690260384326,49.80232219041854,54.82676056685142,57.85561114857757,69.62145074297347,75.35612168691993,79.54184702273997
2000,6,50.502055680729114,55.05279827802588,59.19502497629573,49.853089987668724,53.936279763850244,56.48359422936595,69.68834203172665,75.01239998451774,80.24562795612148
2000,7,50.491220944176845,55.28937117237837,58.14885542010051,49.77626087764155,55.18526112525186,57.69346252796075,69.68674331663922,76.56315889666473,79.23659827281382
2000,8,50.282488190419386,55.3762500319922,58.21218710419187,50.00595457895511,54.527163697601694,57.534214059599584,70.0405746148399,76.88022559615533,79.64762150637824
2000,9,50.496742208483425,55.42718909413404,57.845628845897245,49.96660468413039,54.73692806798228,57.259282212952776,69.96518189422082,76.82542953192808,79.71603477235314
2000,10,50.636928941469364,55.26507290784397,58.015314333121474,49.998980290085925,54.635100611731424,56.42722529685299,69.9884997846379,75.458072307011,78.57732434993201
2000,11,50.4091356198194,55.17048294933959,58.27132727424556,49.862774091228275,54.68989455989278,57.61776252688505,70.14719146753265,75.86127345425884,78.00760482436404
2000,12,50.58218261928867,55.867701913596534,58.886734923356165,49.88487305039109,55.11888836628282,57.82408157574301,70.0240041936203,76.59833972333118,79.66097469820025
2000,13,50.532487762746115,55.99664898032652,60.263217352779016,49.844210156100786,54.78209062841811,57.89193281238017,69.88882788110149,75.25625935597107,78.48516591687068
2000,14,50.67341552147749,55.89880001675199,57.872151569549985,49.73678606671177,54.846282078701734,57.01630194333338,70.05115775564786,75.98645096779998,78.84278940349697
2000,15,50.6654988799364,55.147368289467884,57.47699524301085,50.02657331814017,54.97874343780996,57.12410953096995,70.01036898302786,75.29802303841005,78.55529590904874
2000,16,50.53695955323779,55.863727887664126,59.40307500092021,49.9667595258847,54.66713778206774,57.19505710236977,70.0277347414218,76.19883665191,80.07032455553646
2000,17,50.37517444761034,54.774599309025554,57.29656222828661,49.77511868894152,54.16408039915052,56.9553801780406,70.01892930020617,75.36882676917203,79.53326364642469
2000,18,50.48569950914717,55.54190178950628,58.13597812202099,50.148170403502355,55.20495915890389,58.672027532436495,70.21164011057319,75.65462138728334,79.28649081209704
2000,19,50.52304564392858,55.29137580731855,58.26927536411815,49.7572593533592,54.766660644704224,59.074284084673806,69.94768473122562,75.64392486004085,80.23372029627406
2000,20,50.440253551197856,55.53459473200429,58.41980994650211,49.8847625779502,54.89922433865838,59.5324914758516,70.01483639273121,76.26161360140968,81.27399021722665
2000,21,50.67926860824194,55.263630794562445,57.652444293484365,50.19260306021249,55.305418649046416,58.56443513005064,69.86114826482083,76.42824380946567,81.00509654954887
