delta,seed,auc_empirical,auc_theory
0.75,29,0.6998902222222223,0.7020584547174111
1.0,0,0.7506537777777778,0.7602499389065233
1.0,1,0.7799626666666666,0.7602499389065233
1.0,2,0.7755302222222222,0.7602499389065233
1.0,3,0.7511639999999999,0.7602499389065233
1.0,4,0.7598728888888888,0.7602499389065233
1.0,5,0.7622244444444444,0.7602499389065233
1.0,6,0.7562404444444444,0.7602499389065233
1.0,7,0.772276,0.7602499389065233
1.0,8,0.7687813333333333,0.7602499389065233
1.0,9,0.7501217777777778,0.7602499389065233
1.0,10,0.7647035555555556,0.7602499389065233
1.0,11,0.7656324444444444,0.7602499389065233
1.0,12,0.756539111111111,0.7602499389065233
1.0,13,0.7654622222222223,0.7602499389065233
1.0,14,0.7636568888888888,0.7602499389065233
1.0,15,0.7470044444444445,0.7602499389065233
1.0,16,0.7562733333333334,0.7602499389065233
1.0,17,0.7544017777777778,0.7602499389065233
1.0,18,0.7596088888888889,0.7602499389065233
1.0,19,0.7690115555555556,0.7602499389065233
1.0,20,0.7712822222222222,0.7602499389065233
1.0,21,0.773968,0.7602499389065233
1.0,22,0.7691462222222223,0.7602499389065233
1.0,23,0.7702466666666666,0.7602499389065233
1.0,24,0.7603591111111111,0.7602499389065233
1.0,25,0.7508075555555556,0.7602499389065233
1.0,26,0.7623026666666667,0.7602499389065233
1.0,27,0.7555328888888889,0.7602499389065233
1.0,28,0.7566555555555556,0.7602499389065233
1.0,29,0.7577115555555556,0.7602499389065233
