rho,seed,empirical_gap,theoretical_gap,mse_bayes,mse_memoryless
0.8,18,1.8757945048564948,1.7777777777777788,1.0289653830234702,2.904759887879965
0.8,19,1.7806069861880038,1.7777777777777788,0.987121200438184,2.767728186626188
0.8,20,1.8956706476440126,1.7777777777777788,1.0032969295696255,2.898967577213638
0.8,21,1.8287107312050153,1.7777777777777788,0.9739830338054617,2.802693765010477
0.8,22,1.6667665948565031,1.7777777777777788,0.9968013178700792,2.6635679127265823
0.8,23,1.8935031874220505,1.7777777777777788,1.005130624182638,2.8986338116046886
0.8,24,1.6728968740396266,1.7777777777777788,0.9851607582909298,2.6580576323305563
0.8,25,1.8574405897438448,1.7777777777777788,1.0301948574553323,2.887635447199177
0.8,26,1.5578694496297194,1.7777777777777788,0.9991280532496956,2.556997502879415
0.8,27,1.8179949120814998,1.7777777777777788,0.9938110815344946,2.8118059936159945
0.8,28,2.006354913264851,1.7777777777777788,1.0009821793182851,3.007337092583136
0.8,29,1.744761452838495,1.7777777777777788,1.0144754151621604,2.7592368680006554
0.9,0,4.225857997246672,4.263157894736843,0.9908340867523029,5.216692083998975
0.9,1,4.2566721774376735,4.263157894736843,1.001534493995344,5.258206671433017
0.9,2,4.029698259345831,4.263157894736843,1.0027967024949218,5.032494961840753
0.9,3,4.2162557244023215,4.263157894736843,1.0102986668711997,5.226554391273521
0.9,4,4.290615439405067,4.263157894736843,0.9835689372718823,5.274184376676949
0.9,5,4.72734737502917,4.263157894736843,1.0146732723094687,5.742020647338639
