seed,tau,alpha
72,0.0,1.8742214411233147
72,0.05,1.981809874105493
72,0.1,1.8799219748164566
72,0.2,2.144887170379126
72,0.3,2.655530438331835
72,0.5,3.3567494387302124
72,0.8,3.795468453748689
72,1.0,4.0410020928895145
73,0.0,1.8670803215765666
73,0.05,1.9160963782742169
73,0.1,1.8955642385609588
73,0.2,2.2082666893045286
73,0.3,2.648529106245921
73,0.5,3.2980200117855043
73,0.8,3.976913873077999
73,1.0,4.20854019838617
74,0.0,1.8614756487306772
74,0.05,1.8551905071007164
74,0.1,1.9622701631658206
74,0.2,2.027792277724526
74,0.3,2.4929583708787852
74,0.5,3.2554491170926
74,0.8,3.722147300628665
74,1.0,4.056684836314858
75,0.0,1.8548079799020016
75,0.05,1.961329230916614
75,0.1,1.9069756149427668
75,0.2,2.081791926260682
75,0.3,2.6859116520974595
75,0.5,3.156765531823242
75,0.8,3.978403224823773
