channel,n_tasks,hc_count,lc_count,hc_miss,lc_miss,hc_miss_rate,lc_miss_rate,p99_latency_ms,n_channels,seed
10,1000,88,912,0,912,0.0,1.0,75.71741495526213,64,2
11,1000,107,893,0,893,0.0,1.0,78.34655399230262,64,2
12,1000,96,904,0,904,0.0,1.0,74.5702486295824,64,2
13,1000,115,885,0,885,0.0,1.0,74.82854479662223,64,2
14,1000,99,901,0,901,0.0,1.0,73.10892464946562,64,2
15,1000,99,901,0,901,0.0,1.0,75.34621563438913,64,2
16,1000,90,910,0,910,0.0,1.0,72.86731558936673,64,2
17,1000,112,888,0,888,0.0,1.0,72.62751768689594,64,2
18,1000,97,903,0,903,0.0,1.0,75.14147543382006,64,2
19,1000,118,882,0,882,0.0,1.0,75.93625498106937,64,2
20,1000,98,902,0,902,0.0,1.0,72.69259037784163,64,2
21,1000,101,899,0,899,0.0,1.0,72.8099671650708,64,2
22,1000,98,902,0,902,0.0,1.0,79.43754390833779,64,2
23,1000,108,892,0,892,0.0,1.0,75.72286632963528,64,2
24,1000,107,893,0,893,0.0,1.0,72.50316958007102,64,2
25,1000,117,883,0,883,0.0,1.0,73.81128355486739,64,2
26,1000,82,918,0,918,0.0,1.0,70.87650903240795,64,2
27,1000,85,915,0,915,0.0,1.0,75.05114613788501,64,2
28,1000,111,889,0,889,0.0,1.0,75.52732136693653,64,2
29,1000,101,899,0,899,0.0,1.0,75.3451875775645,64,2
30,1000,103,897,0,897,0.0,1.0,73.51558984220308,64,2
31,1000,112,888,0,888,0.0,1.0,74.31047466008629,64,2
32,1000,115,885,0,885,0.0,1.0,74.06905218879174,64,2
33,1000,109,891,0,891,0.0,1.0,75.18544086419311,64,2
34,1000,91,909,0,909,0.0,1.0,72.74470803939623,64,2
35,1000,104,896,0,896,0.0,1.0,73.91918024908229,64,2
36,1000,88,912,0,912,0.0,1.0,73.25411598109571,64,2
37,1000,101,899,0,899,0.0,1.0,72.91671057105142,64,2
38,1000,96,904,0,904,0.0,1.0,75.33681668629461,64,2
39,1000,114,886,0,886,0.0,1.0,74.42070671633937,64,2
40,1000,94,906,0,906,0.0,1.0,75.47441117097844,64,2
41,1000,91,909,0,909,0.0,1.0,72.30216851678782,64,2
42,1000,101,899,0,899,0.0,1.0,75.49734177167643,64,2
43,1000,89,911,0,911,0.0,1.0,74.2148525440547,64,2
44,1000,90,910,0,910,0.0,1.0,73.56167636136401,64,2
45,1000,106,894,0,894,0.0,1.0,74.1301713704828,64,2
46,1000,97,903,0,903,0.0,1.0,75.37713775222396,64,2
47,1000,102,898,0,898,0.0,1.0,73.14916271063909,64,2
48,1000,91,909,0,909,0.0,1.0,74.02377902332049,64,2
49,1000,87,913,0,913,0.0,1.0,75.52654490177841,64,2
50,1000,94,906,0,906,0.0,1.0,73.88103915057181,64,2
51,1000,114,886,0,886,0.0,1.0,74.65522232611492,64,2
52,1000,85,915,0,915,0.0,1.0,71.74054374221278,64,2
53,1000,110,890,0,890,0.0,1.0,74.30615928152541,64,2
54,1000,111,889,0,889,0.0,1.0,74.93594491385701,64,2
55,1000,106,894,0,894,0.0,1.0,72.96257890106578,64,2
56,1000,75,925,0,925,0.0,1.0,73.23508240446715,64,2
57,1000,99,901,0,901,0.0,1.0,74.45884605842134,64,2
58,1000,101,899,0,899,0.0,1.0,72.9878825900485,64,2
59,1000,95,905,0,905,0.0,1.0,73.6690171554386,64,2
60,1000,98,902,0,902,0.0,1.0,73.3026995677878,64,2
61,1000,96,904,0,904,0.0,1.0,74.86011811040817,64,2
62,1000,99,901,0,901,0.0,1.0,73.45253283990294,64,2
63,1000,103,897,0,897,0.0,1.0,72.34909302957595,64,2
