epsilon,precommit,trial,coalition_utility,honest_utility,coalition_advantage
2.0,False,1,-17.02741699796952,1.6,-18.627416997969522
2.0,False,2,-17.02741699796952,1.6,-18.627416997969522
2.0,False,3,-17.02741699796952,1.6,-18.627416997969522
2.0,False,4,-17.02741699796952,1.6,-18.627416997969522
2.0,False,5,-17.02741699796952,1.6,-18.627416997969522
2.0,False,6,-17.02741699796952,1.6,-18.627416997969522
2.0,False,7,-17.02741699796952,1.6,-18.627416997969522
2.0,False,8,-17.02741699796952,1.6,-18.627416997969522
2.0,False,9,-17.02741699796952,1.6,-18.627416997969522
2.0,False,10,-17.02741699796952,1.6,-18.627416997969522
2.0,False,11,-17.02741699796952,1.6,-18.627416997969522
2.0,False,12,-17.02741699796952,1.6,-18.627416997969522
2.0,False,13,-17.02741699796952,1.6,-18.627416997969522
2.0,False,14,-17.02741699796952,1.6,-18.627416997969522
2.0,False,15,-17.02741699796952,1.6,-18.627416997969522
2.0,False,16,-17.02741699796952,1.6,-18.627416997969522
2.0,False,17,-17.02741699796952,1.6,-18.627416997969522
2.0,False,18,-17.02741699796952,1.6,-18.627416997969522
2.0,False,19,-17.02741699796952,1.6,-18.627416997969522
2.0,False,20,-17.02741699796952,1.6,-18.627416997969522
2.0,False,21,-17.02741699796952,1.6,-18.627416997969522
2.0,False,22,-17.02741699796952,1.6,-18.627416997969522
2.0,False,23,-17.02741699796952,1.6,-18.627416997969522
2.0,False,24,-17.02741699796952,1.6,-18.627416997969522
2.0,False,25,-17.02741699796952,1.6,-18.627416997969522
2.0,False,26,-17.02741699796952,1.6,-18.627416997969522
2.0,False,27,-17.02741699796952,1.6,-18.627416997969522
2.0,False,28,-17.02741699796952,1.6,-18.627416997969522
2.0,False,29,-17.02741699796952,1.6,-18.627416997969522
2.0,False,30,-17.02741699796952,1.6,-18.627416997969522
2.0,False,31,-17.02741699796952,1.6,-18.627416997969522
2.0,False,32,-17.02741699796952,1.6,-18.627416997969522
2.0,False,33,-17.02741699796952,1.6,-18.627416997969522
2.0,False,34,-17.02741699796952,1.6,-18.627416997969522
2.0,False,35,-17.02741699796952,1.6,-18.627416997969522
