epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.1,True,87,False,1.6,0.0
0.1,True,88,True,4.6000000000000005,3.0000000000000004
0.1,True,89,True,4.6000000000000005,3.0000000000000004
0.1,True,90,True,4.6000000000000005,3.0000000000000004
0.1,True,91,False,1.6,0.0
0.1,True,92,False,1.6,0.0
0.1,True,93,True,4.6000000000000005,3.0000000000000004
0.1,True,94,True,4.6000000000000005,3.0000000000000004
0.1,True,95,True,4.6000000000000005,3.0000000000000004
0.1,True,96,False,1.6,0.0
0.1,True,97,False,1.6,0.0
0.1,True,98,True,4.6000000000000005,3.0000000000000004
0.1,True,99,True,4.6000000000000005,3.0000000000000004
0.3,False,0,True,4.6000000000000005,3.0000000000000004
0.3,False,1,True,4.6000000000000005,3.0000000000000004
0.3,False,2,True,4.6000000000000005,3.0000000000000004
0.3,False,3,True,4.6000000000000005,3.0000000000000004
0.3,False,4,True,4.6000000000000005,3.0000000000000004
0.3,False,5,True,4.6000000000000005,3.0000000000000004
0.3,False,6,True,4.6000000000000005,3.0000000000000004
0.3,False,7,True,4.6000000000000005,3.0000000000000004
0.3,False,8,True,4.6000000000000005,3.0000000000000004
0.3,False,9,True,4.6000000000000005,3.0000000000000004
0.3,False,10,True,4.6000000000000005,3.0000000000000004
0.3,False,11,True,4.6000000000000005,3.0000000000000004
0.3,False,12,True,4.6000000000000005,3.0000000000000004
0.3,False,13,True,4.6000000000000005,3.0000000000000004
0.3,False,14,True,4.6000000000000005,3.0000000000000004
0.3,False,15,True,4.6000000000000005,3.0000000000000004
0.3,False,16,True,4.6000000000000005,3.0000000000000004
0.3,False,17,True,4.6000000000000005,3.0000000000000004
0.3,False,18,True,4.6000000000000005,3.0000000000000004
0.3,False,19,True,4.6000000000000005,3.0000000000000004
0.3,False,20,True,4.6000000000000005,3.0000000000000004
0.3,False,21,True,4.6000000000000005,3.0000000000000004
0.3,False,22,True,4.6000000000000005,3.0000000000000004
0.3,False,23,True,4.6000000000000005,3.0000000000000004
0.3,False,24,True,4.6000000000000005,3.0000000000000004
0.3,False,25,True,4.6000000000000005,3.0000000000000004
0.3,False,26,True,4.6000000000000005,3.0000000000000004
0.3,False,27,True,4.6000000000000005,3.0000000000000004
0.3,False,28,True,4.6000000000000005,3.0000000000000004
0.3,False,29,True,4.6000000000000005,3.0000000000000004
0.3,False,30,True,4.6000000000000005,3.0000000000000004
0.3,False,31,True,4.6000000000000005,3.0000000000000004
0.3,False,32,True,4.6000000000000005,3.0000000000000004
0.3,False,33,True,4.6000000000000005,3.0000000000000004
0.3,False,34,True,4.6000000000000005,3.0000000000000004
0.3,False,35,True,4.6000000000000005,3.0000000000000004
0.3,False,36,True,4.6000000000000005,3.0000000000000004
