intensity,seed,auc,fp_rate,tp_rate
0.75,9,0.7148138888888889,0.31666666666666665,0.6183333333333333
0.75,10,0.7311055555555556,0.2633333333333333,0.6066666666666667
0.75,11,0.6977583333333333,0.3016666666666667,0.6
0.75,12,0.6804916666666667,0.31833333333333336,0.625
0.75,13,0.7125638888888889,0.2833333333333333,0.6
0.75,14,0.705011111111111,0.30833333333333335,0.6016666666666667
0.75,15,0.7136416666666667,0.30333333333333334,0.5783333333333334
0.75,16,0.7024138888888889,0.32666666666666666,0.61
0.75,17,0.6817222222222222,0.3416666666666667,0.575
0.75,18,0.7155,0.30333333333333334,0.6266666666666667
0.75,19,0.6993944444444444,0.3016666666666667,0.555
0.75,20,0.6810499999999999,0.31666666666666665,0.58
0.75,21,0.70615,0.305,0.615
0.75,22,0.6786361111111111,0.32666666666666666,0.5816666666666667
0.75,23,0.711686111111111,0.2966666666666667,0.6016666666666667
0.75,24,0.7318694444444445,0.2733333333333333,0.6266666666666667
0.75,25,0.7132166666666666,0.29833333333333334,0.6083333333333333
0.75,26,0.6956444444444444,0.3016666666666667,0.6083333333333333
0.75,27,0.6992527777777778,0.3283333333333333,0.6266666666666667
0.75,28,0.7121194444444445,0.295,0.5883333333333334
0.75,29,0.6881666666666667,0.30666666666666664,0.5866666666666667
1.0,0,0.7300083333333334,0.28833333333333333,0.6583333333333333
1.0,1,0.7474583333333333,0.315,0.68
1.0,2,0.7475055555555555,0.32,0.6916666666666667
1.0,3,0.7562,0.31333333333333335,0.7116666666666667
1.0,4,0.7492694444444444,0.305,0.6566666666666666
1.0,5,0.7573888888888889,0.2966666666666667,0.67
1.0,6,0.7495666666666667,0.315,0.6816666666666666
1.0,7,0.7778027777777778,0.295,0.7083333333333334
1.0,8,0.7737388888888889,0.285,0.6766666666666666
1.0,9,0.772775,0.31666666666666665,0.705
1.0,10,0.7843611111111111,0.2633333333333333,0.695
1.0,11,0.755575,0.3016666666666667,0.6983333333333334
1.0,12,0.7392027777777778,0.31833333333333336,0.6933333333333334
1.0,13,0.7708111111111111,0.2833333333333333,0.6716666666666666
1.0,14,0.7615916666666667,0.30833333333333335,0.705
1.0,15,0.7722527777777778,0.30333333333333334,0.6816666666666666
1.0,16,0.7579055555555556,0.32666666666666666,0.6916666666666667
1.0,17,0.7406833333333334,0.3416666666666667,0.6866666666666666
1.0,18,0.7729055555555555,0.30333333333333334,0.72
1.0,19,0.7597555555555555,0.3016666666666667,0.6633333333333333
1.0,20,0.7410305555555555,0.31666666666666665,0.6633333333333333
1.0,21,0.7659972222222222,0.305,0.7066666666666667
1.0,22,0.7386166666666667,0.32666666666666666,0.66
1.0,23,0.7704805555555556,0.2966666666666667,0.695
1.0,24,0.7885833333333333,0.2733333333333333,0.725
1.0,25,0.7726833333333334,0.29833333333333334,0.71
1.0,26,0.7526555555555555,0.3016666666666667,0.69
1.0,27,0.7569527777777778,0.3283333333333333,0.7016666666666667
1.0,28,0.77295,0.295,0.6866666666666666
1.0,29,0.7483222222222222,0.30666666666666664,0.68
