seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
1,s1_guarded,29,1789362891.477927021,1789362910.871853035,2,4,0
1,s1_guarded,30,1789362927.766861407,1789362946.461860417,4,2,0
1,s1_guarded,31,1789362963.310039114,1789362981.946506954,2,1,0
1,s1_guarded,32,1789362999.536488322,1789363018.226583430,1,2,0
1,s1_guarded,33,1789363035.136894537,1789363053.764260340,2,4,0
1,s1_guarded,34,1789363070.601025412,1789363089.300019610,4,2,0
1,s1_guarded,35,1789363106.042997552,1789363124.740323795,2,4,0
1,s1_guarded,36,1789363141.616481420,1789363160.165925277,4,5,0
1,s1_guarded,37,1789363176.769771308,1789363195.402701075,5,1,0
1,s1_guarded,38,1789363213.201316272,1789363231.945641788,1,4,0
1,s1_guarded,39,1789363248.959518207,1789363267.627325090,4,2,0
1,s1_guarded,40,1789363284.618807939,1789363303.527563979,2,4,0
1,s1_guarded,41,1789363320.570934988,1789363339.291436573,4,5,0
1,s1_guarded,42,1789363356.304696199,1789363374.959458359,5,4,0
1,s1_guarded,43,1789363391.914682924,1789363410.520139636,4,1,0
1,s1_guarded,44,1789363428.363721158,1789363447.048171558,1,5,0
1,s1_guarded,45,1789363464.064680033,1789363482.736015237,5,2,0
1,s1_guarded,46,1789363499.860444175,1789363518.666114598,2,5,0
1,s1_guarded,47,1789363535.639196605,1789363554.501997457,5,2,0
1,s1_guarded,48,1789363571.595009461,1789363590.806718094,2,4,0
1,s1_guarded,49,1789363607.845212556,1789363626.543831097,4,2,0
1,s1_guarded,50,1789363643.843842658,1789363662.648526470,2,5,0
1,s1_guarded,51,1789363679.861801663,1789363698.810310320,5,4,0
1,s1_guarded,52,1789363716.162497336,1789363735.085490512,4,2,0
1,s1_guarded,53,1789363752.441698121,1789363771.308494089,2,5,0
1,s1_guarded,54,1789363788.732736558,1789363807.491195321,5,1,0
1,s1_guarded,55,1789363825.535724917,1789363844.667864017,1,2,0
1,s1_guarded,56,1789363862.111431428,1789363881.664277896,2,1,0
1,s1_guarded,57,1789363899.507470531,1789363918.421271272,1,2,0
1,s1_guarded,58,1789363936.054335847,1789363954.931044179,2,1,0
1,s1_guarded,59,1789363972.913498294,1789363991.980222204,1,5,0
1,s1_guarded,60,1789364009.648967705,1789364028.780321052,5,4,0
1,s1_guarded,61,1789364046.450168567,1789364065.525782108,4,1,0
1,s1_guarded,62,1789364083.711478665,1789364102.874097681,1,4,0
1,s1_guarded,63,1789364120.408177686,1789364139.890288332,4,2,0
1,s1_guarded,64,1789364157.717018935,1789364176.652235369,2,4,0
1,s1_guarded,65,1789364194.413458654,1789364213.345696800,4,2,0
1,s1_guarded,66,1789364231.336711103,1789364250.641549054,2,1,0
1,s1_guarded,67,1789364268.799818554,1789364288.092453778,1,2,0
1,s1_guarded,68,1789364305.937413197,1789364324.970692322,2,1,0
1,s1_guarded,69,1789364343.433029164,1789364362.459625116,1,4,0
1,s1_guarded,70,1789364380.421109957,1789364399.345744923,4,1,0
1,s1_guarded,71,1789364415.673159819,1789364434.822316584,1,4,0
1,s1_guarded,72,1789364452.528138908,1789364471.501192594,4,2,0
1,s1_guarded,73,1789364489.531481170,1789364509.123580375,2,5,0
1,s1_guarded,74,1789364527.023055291,1789364546.057036614,5,2,0
1,s1_guarded,75,1789364564.275853872,1789364583.313175568,2,1,0
1,s1_guarded,76,1789364601.711907208,1789364620.909793572,1,5,0
1,s1_guarded,77,1789364639.197351343,1789364658.364242986,5,4,0
1,s1_guarded,78,1789364676.486270486,1789364695.555105536,4,2,0
1,s1_guarded,79,1789364713.607344975,1789364732.705025629,2,4,0
1,s1_guarded,80,1789364750.834328842,1789364770.083451131,4,5,0
1,s1_guarded,81,1789364788.436762794,1789364807.651184660,5,2,0
1,s1_guarded,82,1789364821.228591882,1789364840.296347721,2,5,0
1,s1_guarded,83,1789364853.905248272,1789364872.976338510,5,4,0
1,s1_guarded,84,1789364886.521096848,1789364905.946988897,4,5,0
