loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.01,20.0,0,266.9398159511792,147.17434530146429,0.02,0.0
0.01,20.0,1,260.04232107719474,147.78778566972903,0.0,0.0
0.01,20.0,2,254.80866889887426,149.62355470461097,0.02,0.0
0.01,20.0,3,272.5783295773575,146.92194704209095,0.01,0.0
0.01,20.0,4,269.3812161818994,147.7335685093292,0.02,0.0
0.01,20.0,5,267.61478345266835,151.2232484850569,0.0,0.01
0.01,20.0,6,270.1254973819033,151.8694078526766,0.01,0.0
0.01,20.0,7,251.33313909287827,143.23612343383837,0.01,0.0
0.01,20.0,8,258.46843173874515,149.74456100277632,0.0,0.0
0.01,20.0,9,264.3184505761046,147.45349969641217,0.0,0.0
0.01,20.0,10,259.6187842035555,146.41067775570076,0.0,0.01
0.01,20.0,11,255.51323969519134,139.17514758164145,0.0,0.0
0.01,20.0,12,261.4223243113271,142.58355684301773,0.02,0.0
0.01,20.0,13,257.5687988601149,148.60616072098273,0.01,0.0
0.01,20.0,14,269.2075691721548,144.53360409163918,0.0,0.0
