arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
B_oracle,11,5,2,3;9,4,9,1786285187.525530096,1786285201.115156324,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,6,0,1
B_oracle,11,5,2,3;9,4,10,1786285201.119566425,1786285214.680267156,W1,2,2,9;3,0,4,2,2,9;3,0,4,6,0,10,0,1
C_predictor,11,5,2,3;9,4,1,1786285223.902952737,1786285237.530384401,W1,2,2,9;3,0,4,2,2,3;9,0,4,10,0,2,0,1
C_predictor,11,5,2,3;9,4,2,1786285237.540272120,1786285251.194033865,W1,2,2,3;9,0,4,2,2,9;3,0,4,2,0,1,0,1
C_predictor,11,5,2,3;9,4,3,1786285251.197952924,1786285264.819842382,W1,2,2,9;3,0,4,2,2,9;3,0,4,1,0,6,0,1
C_predictor,11,5,2,3;9,4,4,1786285264.832135584,1786285278.463173518,W1,2,2,9;3,0,4,2,2,9;3,0,4,6,0,7,0,1
C_predictor,11,5,2,3;9,4,5,1786285278.473572433,1786285292.111216928,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,6,0,1
C_predictor,11,5,2,3;9,4,6,1786285292.115556657,1786285305.828387761,W1,2,2,3;9,0,4,2,2,9;3,0,4,6,0,2,0,1
C_predictor,11,5,2,3;9,4,7,1786285305.834937458,1786285319.475923646,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,11,0,1
C_predictor,11,5,2,3;9,4,8,1786285319.479483819,1786285333.083999552,W1,2,2,9;3,0,4,2,2,9;3,0,4,11,0,8,0,1
C_predictor,11,5,2,3;9,4,9,1786285333.093641975,1786285346.736252697,W1,2,2,9;3,0,4,2,2,9;3,0,4,8,0,6,0,1
C_predictor,11,5,2,3;9,4,10,1786285346.748306924,1786285360.399780677,W1,2,2,9;3,0,4,2,2,3;9,0,4,6,0,10,0,1
