# start rate=10 seed=6 dur=420 n=7 target=3 events=41
167.8 fp=[2] true=[3] merged=[2, 3]
168.1 fp=[2] true=[3] merged=[2, 3]
168.5 fp=[2] true=[3] merged=[2, 3]
168.8 fp=[2] true=[3] merged=[2, 3]
169.1 fp=[2] true=[3] merged=[2, 3]
169.4 fp=[2] true=[3] merged=[2, 3]
169.7 fp=[2] true=[3] merged=[2, 3]
170.0 fp=[2] true=[3] merged=[2, 3]
170.3 fp=[2] true=[3] merged=[2, 3]
170.7 fp=[2] true=[3] merged=[2, 3]
171.0 fp=[2] true=[3] merged=[2, 3]
171.3 fp=[2] true=[3] merged=[2, 3]
171.6 fp=[2] true=[3] merged=[2, 3]
171.9 fp=[2] true=[3] merged=[2, 3]
172.2 fp=[2] true=[3] merged=[2, 3]
172.5 fp=[2] true=[3] merged=[2, 3]
172.9 fp=[2] true=[3] merged=[2, 3]
173.2 fp=[2] true=[3] merged=[2, 3]
173.5 fp=[2] true=[3] merged=[2, 3]
173.8 fp=[2] true=[3] merged=[2, 3]
174.1 fp=[6] true=[3] merged=[3, 6]
174.5 fp=[6] true=[3] merged=[3, 6]
174.8 fp=[6] true=[3] merged=[3, 6]
175.1 fp=[6] true=[3] merged=[3, 6]
175.4 fp=[6] true=[3] merged=[3, 6]
175.7 fp=[6] true=[3] merged=[3, 6]
176.0 fp=[2] true=[3] merged=[2, 3]
176.3 fp=[2] true=[3] merged=[2, 3]
176.6 fp=[2] true=[3] merged=[2, 3]
177.0 fp=[2] true=[3] merged=[2, 3]
177.3 fp=[2] true=[3] merged=[2, 3]
177.6 fp=[2] true=[3] merged=[2, 3]
177.9 fp=[2] true=[3] merged=[2, 3]
178.2 fp=[2] true=[3] merged=[2, 3]
178.5 fp=[2] true=[3] merged=[2, 3]
178.8 fp=[2] true=[3] merged=[2, 3]
179.1 fp=[2] true=[3] merged=[2, 3]
179.5 fp=[2] true=[3] merged=[2, 3]
179.8 fp=[2] true=[3] merged=[2, 3]
180.1 fp=[2] true=[3] merged=[2, 3]
180.4 fp=[2] true=[3] merged=[2, 3]
180.7 fp=[2] true=[3] merged=[2, 3]
181.0 fp=[2] true=[3] merged=[2, 3]
181.3 fp=[2] true=[3] merged=[2, 3]
181.7 fp=[2] true=[3] merged=[2, 3]
182.0 fp=[2] true=[3] merged=[2, 3]
182.3 fp=[2] true=[3] merged=[2, 3]
182.6 fp=[2] true=[3] merged=[2, 3]
182.9 fp=[2] true=[3] merged=[2, 3]
183.2 fp=[2] true=[3] merged=[2, 3]
183.5 fp=[2] true=[3] merged=[2, 3]
183.9 fp=[2] true=[3] merged=[2, 3]
184.2 fp=[2] true=[3] merged=[2, 3]
184.5 fp=[2] true=[3] merged=[2, 3]
184.8 fp=[2] true=[3] merged=[2, 3]
185.1 fp=[2] true=[3] merged=[2, 3]
185.4 fp=[2] true=[3] merged=[2, 3]
185.7 fp=[2] true=[3] merged=[2, 3]
186.0 fp=[2] true=[3] merged=[2, 3]
186.3 fp=[2] true=[3] merged=[2, 3]
186.7 fp=[2] true=[3] merged=[2, 3]
187.0 fp=[2] true=[3] merged=[2, 3]
187.3 fp=[2] true=[3] merged=[2, 3]
187.6 fp=[2] true=[3] merged=[2, 3]
187.9 fp=[2] true=[3] merged=[2, 3]
188.2 fp=[2] true=[3] merged=[2, 3]
188.5 fp=[2] true=[3] merged=[2, 3]
188.8 fp=[2] true=[3] merged=[2, 3]
189.1 fp=[2] true=[3] merged=[2, 3]
189.4 fp=[2] true=[3] merged=[2, 3]
189.8 fp=[2] true=[3] merged=[2, 3]
190.1 fp=[2] true=[3] merged=[2, 3]
190.4 fp=[2] true=[3] merged=[2, 3]
190.7 fp=[2] true=[3] merged=[2, 3]
191.0 fp=[2] true=[3] merged=[2, 3]
191.3 fp=[2] true=[3] merged=[2, 3]
191.6 fp=[2] true=[3] merged=[2, 3]
191.9 fp=[2] true=[3] merged=[2, 3]
192.3 fp=[2] true=[3] merged=[2, 3]
192.6 fp=[2] true=[3] merged=[2, 3]
192.9 fp=[2] true=[3] merged=[2, 3]
193.2 fp=[2] true=[3] merged=[2, 3]
193.5 fp=[2] true=[3] merged=[2, 3]
193.8 fp=[2] true=[3] merged=[2, 3]
194.1 fp=[2] true=[3] merged=[2, 3]
194.4 fp=[2] true=[3] merged=[2, 3]
194.8 fp=[2] true=[3] merged=[2, 3]
195.1 fp=[2] true=[3] merged=[2, 3]
195.4 fp=[2] true=[3] merged=[2, 3]
195.7 fp=[2] true=[3] merged=[2, 3]
196.0 fp=[2] true=[3] merged=[2, 3]
196.3 fp=[2] true=[3] merged=[2, 3]
196.6 fp=[2] true=[3] merged=[2, 3]
196.9 fp=[2] true=[3] merged=[2, 3]
197.3 fp=[2] true=[3] merged=[2, 3]
197.6 fp=[2] true=[3] merged=[2, 3]
197.9 fp=[2] true=[3] merged=[2, 3]
198.2 fp=[2] true=[3] merged=[2, 3]
198.5 fp=[2] true=[3] merged=[2, 3]
198.8 fp=[2] true=[3] merged=[2, 3]
199.1 fp=[2] true=[3] merged=[2, 3]
199.5 fp=[2] true=[3] merged=[2, 3]
199.8 fp=[2] true=[3] merged=[2, 3]
200.1 fp=[2] true=[3] merged=[2, 3]
200.4 fp=[2] true=[3] merged=[2, 3]
200.7 fp=[2] true=[3] merged=[2, 3]
201.0 fp=[2] true=[3] merged=[2, 3]
201.3 fp=[2] true=[3] merged=[2, 3]
201.6 fp=[2] true=[3] merged=[2, 3]
201.9 fp=[2] true=[3] merged=[2, 3]
202.3 fp=[2] true=[3] merged=[2, 3]
202.6 fp=[2] true=[3] merged=[2, 3]
202.9 fp=[2] true=[3] merged=[2, 3]
203.2 fp=[2] true=[3] merged=[2, 3]
203.5 fp=[2] true=[3] merged=[2, 3]
203.8 fp=[2] true=[3] merged=[2, 3]
204.2 fp=[2] true=[3] merged=[2, 3]
204.5 fp=[2] true=[3] merged=[2, 3]
204.8 fp=[2] true=[3] merged=[2, 3]
205.1 fp=[4] true=[3] merged=[3, 4]
205.4 fp=[4] true=[3] merged=[3, 4]
