rho,k,seed,emp_gap,th_gap,ratio
0.3,3,0,0.0008616736932296476,1.0981,0.0007846951035694814
0.3,3,1,0.0008897950890656148,1.0981,0.0008103042428427418
0.3,3,2,0.0001752070794764915,1.0981,0.00015955475774200118
0.3,3,3,0.0014751889160566911,1.0981,0.001343401253125117
0.3,3,4,0.0011231046354975849,1.0981,0.0010227708182292913
0.3,3,5,0.0016078706711177837,1.0981,0.0014642297341934101
0.3,3,6,0.0009756566222334229,1.0981,0.0008884952392618366
0.3,3,7,0.0014719524666317874,1.0981,0.0013404539355539452
0.3,3,8,0.0022855455646964007,1.0981,0.002081363778067936
0.3,3,9,0.0004031167347902098,1.0981,0.0003671038473638191
0.3,3,10,0.00041342956534506925,1.0981,0.000376495369588443
0.3,3,11,0.0026035848448402454,1.0981,0.0023709906609964897
0.3,3,12,0.0008921435026685298,1.0981,0.0008124428582720424
0.3,3,13,0.0001819497931057068,1.0981,0.00016569510345661306
0.3,3,14,0.001384844564868093,1.0981,0.0012611279162809332
0.3,3,15,0.0008236865322519549,1.0981,0.0007501015683926371
0.3,3,16,0.0012965355465457407,1.0981,0.0011807080835495316
0.3,3,17,0.0017239013007332993,1.0981,0.0015698946368575713
0.3,3,18,0.0008062828548274226,1.0981,0.0007342526680879907
0.3,3,19,0.00033306522650433656,1.0981,0.00030331046945117617
0.3,3,20,0.0015868284616837869,1.0981,0.0014450673542334821
0.3,3,21,-9.950135782532676e-05,1.0981,-9.061229198190215e-05
0.3,3,22,0.0016205961898119181,1.0981,0.0014758184043456133
0.3,3,23,0.0009703229201780683,1.0981,0.000883638029485537
0.3,3,24,0.0002812160792164953,1.0981,0.0002560933241202944
0.3,3,25,0.0011871766214825996,1.0981,0.0010811188611989796
0.3,3,26,-0.0005440797664433283,1.0981,-0.0004954737878547749
0.3,3,27,0.00032301818563085227,1.0981,0.0002941609922874531
0.3,3,28,0.0025878925751270376,1.0981,0.00235670027786817
0.3,3,29,0.00017935139596514382,1.0981,0.00016332883705049068
0.3,5,0,-0.00010336955542200599,1.09889461,-9.406685088937326e-05
0.3,5,1,-1.8035665807714096e-05,1.09889461,-1.641255279950285e-05
0.3,5,2,-1.1164770204352692e-05,1.09889461,-1.0160000879750143e-05
0.3,5,3,3.1178217116734075e-05,1.09889461,2.837234511208866e-05
0.3,5,4,1.8326872668561478e-05,1.09889461,1.6677552607671336e-05
0.3,5,5,2.6864242743895872e-05,1.09889461,2.4446605251704593e-05
0.3,5,6,7.349965947645032e-06,1.09889461,6.688508507330863e-06
0.3,5,7,2.1920565273836345e-05,1.09889461,1.9947832189145367e-05
0.3,5,8,-4.7847618476204445e-06,1.09889461,-4.354158992208037e-06
0.3,5,9,9.80069102707315e-05,1.09889461,8.918681498558945e-05
0.3,5,10,8.574754362089543e-05,1.09889461,7.803072545864559e-05
0.3,5,11,0.00010223717434465485,1.09889461,9.30363780241445e-05
0.3,5,12,-2.1654666662485056e-05,1.09889461,-1.970586302401197e-05
0.3,5,13,1.4728388717522023e-06,1.09889461,1.340291287580528e-06
0.3,5,14,5.0587435669324776e-05,1.09889461,4.603483829020216e-05
0.3,5,15,2.855857212247237e-05,1.09889461,2.5988454090672415e-05
0.3,5,16,-3.48808054062566e-05,1.09889461,-3.174172035137801e-05
0.3,5,17,0.00019016586481090947,1.09889461,0.0001730519588324393
0.3,5,18,8.649661509863016e-05,1.09889461,7.871238452851283e-05
0.3,5,19,9.516306686219167e-06,1.09889461,8.659890220245203e-06
0.3,5,20,-0.0001058933017639152,1.09889461,-9.636347362183821e-05
0.3,5,21,8.979069288539421e-05,1.09889461,8.171001301516458e-05
0.3,5,22,-8.452911858047862e-05,1.09889461,-7.692195212467064e-05
0.3,5,23,-0.00018197387531437847,1.09889461,-0.0001655972043710165
0.3,5,24,-9.95235731435784e-05,1.09889461,-9.056698634965404e-05
0.3,5,25,-3.6246063221057057e-05,1.09889461,-3.298411229904663e-05
0.3,5,26,-0.0001276027515353384,1.09889461,-0.00011611918956936042
0.3,5,27,-1.5019185369613552e-05,1.09889461,-1.3667539391801686e-05
0.3,5,28,5.2161496431279986e-05,1.09889461,4.746724204178231e-05
0.3,5,29,0.00018475114629001865,1.09889461,0.0001681245358824889
0.3,10,0,1.2150419359535647e-07,1.0989010988627825,1.1056881617562968e-07
0.3,10,1,-3.9459393530449915e-09,1.0989010988627825,-3.5908048113961462e-09
