arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
B_oracle,7,3,1,3,4,6,1786330163.882912141,1786330177.352695331,W1,1,1,3,0,2,1,1,3,0,2,7,0,4,0,1
B_oracle,7,3,1,3,4,7,1786330177.358433615,1786330190.791394794,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
B_oracle,7,3,1,3,4,8,1786330190.796939076,1786330204.247859426,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
B_oracle,7,3,1,3,4,9,1786330204.262319949,1786330217.683972497,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
B_oracle,7,3,1,3,4,10,1786330217.700398295,1786330231.112518125,W1,1,1,3,0,2,1,1,3,0,2,6,0,4,0,1
C_predictor,7,3,1,3,4,1,1786330237.994057159,1786330251.439636619,W1,1,1,3,0,2,1,1,3,0,2,4,0,5,0,1
C_predictor,7,3,1,3,4,2,1786330251.444385056,1786330264.914922545,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
C_predictor,7,3,1,3,4,3,1786330264.930509093,1786330278.405344831,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
C_predictor,7,3,1,3,4,4,1786330278.412013735,1786330291.956169358,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
C_predictor,7,3,1,3,4,5,1786330291.962671887,1786330305.399682829,W1,1,1,3,0,2,1,1,3,0,2,1,0,5,0,1
C_predictor,7,3,1,3,4,6,1786330305.408977317,1786330318.852513961,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
C_predictor,7,3,1,3,4,7,1786330318.860279218,1786330332.367442144,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
C_predictor,7,3,1,3,4,8,1786330332.372072354,1786330345.863400668,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
C_predictor,7,3,1,3,4,9,1786330345.875913265,1786330359.418365881,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
C_predictor,7,3,1,3,4,10,1786330359.421967092,1786330372.901031474,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
